Time,Ca[*],Cb[*],Fa0[*],dCadt[*],dCbdt[*]
55,0.500002778970585,0.49999655891818146,12.000133647193449,3.4865828029053343e-08,7.757021250087468e-07
56,0.5000027789705853,0.49999655891818146,12.000133647193447,3.4865828029053343e-08,7.757021250087468e-07
57,0.5000027789705853,0.49999655891818146,12.000133647193406,3.4865828029053343e-08,7.757021250087468e-07
58,0.5000027789705849,0.49999655891818146,12.00013364719339,3.4865828029053343e-08,7.757021250087468e-07
59,0.5000027789705844,0.49999655891818146,12.000133647193438,3.4865828029053343e-08,7.757021250087468e-07
60,0.500002778970585,0.49999655891818146,12.00013364719343,3.4865828029053343e-08,7.757021250087468e-07
61,0.500002778970585,0.49999655891818146,12.000133647193435,3.4865828029053343e-08,7.757021250087468e-07
62,0.5000027789705851,0.49999655891818146,12.000133647193392,3.4865828029053343e-08,7.757021250087468e-07
63,0.5000027789705845,0.49999655891818146,12.00013364719341,3.4865828029053343e-08,7.757021250087468e-07
64,0.5000027789705845,0.49999655891818146,12.000133647193488,3.4865828029053343e-08,7.757021250087468e-07
65,0.5000027789705858,0.49999655891818146,12.00013364719345,3.4865828029053343e-08,7.757021250087468e-07
66,0.5000027789705856,0.49999655891818146,12.00013364719342,3.4865828029053343e-08,7.757021250087468e-07
67,0.500002778970585,0.49999655891818146,12.000133647193453,3.4865828029053343e-08,7.757021250087468e-07
68,0.5000027789705854,0.49999655891818146,12.000133647193406,3.4865828029053343e-08,7.757021250087468e-07
69,0.5000027789705849,0.49999655891818146,12.000133647193428,3.4865828029053343e-08,7.757021250087468e-07
70,0.500002778970585,0.49999655891818146,12.000133647193469,3.4865828029053343e-08,7.757021250087468e-07
71,0.5000027789705856,0.49999655891818146,12.000133647193465,3.4865828029053343e-08,7.757021250087468e-07
72,0.5000027789705856,0.49999655891818146,12.000133647193431,3.4865828029053343e-08,7.757021250087468e-07
73,0.5000027789705852,0.49999655891818146,12.000133647193426,3.4865828029053343e-08,7.757021250087468e-07
74,0.5000027789705851,0.49999655891818146,12.000133647193456,3.4865828029053343e-08,7.757021250087468e-07
75,0.5000027789705854,0.49999655891818146,12.000133647193412,3.4865828029053343e-08,7.757021250087468e-07
76,0.5000027789705849,0.49999655891818146,12.000133647193428,3.4865828029053343e-08,7.757021250087468e-07
77,0.500002778970585,0.49999655891818146,12.000133647193426,3.4865828029053343e-08,7.757021250087468e-07
78,0.500002778970585,0.49999655891818146,12.000133647193428,3.4865828029053343e-08,7.757021250087468e-07
79,0.500002778970585,0.49999655891818146,12.000133647193408,3.4865828029053343e-08,7.757021250087468e-07
80,0.5000027789705848,0.49999655891818146,12.000133647193408,3.4865828029053343e-08,7.757021250087468e-07
81,0.5000027789705846,0.49999655891818146,12.000133647193413,3.4865828029053343e-08,7.757021250087468e-07
82,0.5000027789705846,0.49999655891818146,12.000133647193458,3.4865828029053343e-08,7.757021250087468e-07
83,0.5000027789705853,0.49999655891818146,12.000133647193389,3.4865828029053343e-08,7.757021250087468e-07
84,0.5000027789705845,0.49999655891818146,12.000133647193465,3.4865828029053343e-08,7.757021250087468e-07
85,0.5000027789705854,0.49999655891818146,12.000133647193426,3.4865828029053343e-08,7.757021250087468e-07
86,0.5000027789705851,0.49999655891818146,12.000133647193453,3.4865828029053343e-08,7.757021250087468e-07
87,0.5000027789705854,0.49999655891818146,12.00013364719344,3.4865828029053343e-08,7.757021250087468e-07
88,0.5000027789705853,0.49999655891818146,12.000133647193408,3.4865828029053343e-08,7.757021250087468e-07
89,0.5000027789705848,0.49999655891818146,12.000133647193445,3.4865828029053343e-08,7.757021250087468e-07
90,0.5000027789705852,0.49999655891818146,12.000133647193396,3.4865828029053343e-08,7.757021250087468e-07
91,0.5000027789705845,0.49999655891818146,12.000133647193447,3.4865828029053343e-08,7.757021250087468e-07
92,0.5000027789705851,0.49999655891818146,12.000133647193497,3.4865828029053343e-08,7.757021250087468e-07
93,0.5000027789705861,0.49999655891818146,12.000133647193428,3.4865828029053343e-08,7.757021250087468e-07
94,0.5000027789705853,0.49999655891818146,12.00013364719337,3.4865828029053343e-08,7.757021250087468e-07
95,0.5000027789705843,0.49999655891818146,12.000133647193454,3.4865828029053343e-08,7.757021250087468e-07
96,0.5000027789705852,0.49999655891818146,12.000133647193453,3.4865828029053343e-08,7.757021250087468e-07
97,0.5000027789705854,0.49999655891818146,12.000133647193403,3.4865828029053343e-08,7.757021250087468e-07
98,0.5000027789705848,0.49999655891818146,12.00013364719348,3.4865828029053343e-08,7.757021250087468e-07
99,0.5000027789705856,0.49999655891818146,12.00013364719339,3.4865828029053343e-08,7.757021250087468e-07
100,0.5000027789705846,0.49999655891818146,12.000133647193454,3.4865828029053343e-08,7.757021250087468e-07
